Reference,Quantity,Value,Footprint,Manufacturer,MPN,
C1 C2 C7 C9,4,C_2u2_0201,C_0201_0603Metric,Samsung,CL03A225MP3CRNC ,
C10 C11 C12 C3 C4 C5 C6 C8,8,C_100n_0201,C_0201_0603Metric,Murata,GRM033R60J104KE19D ,
C13 C14,2,C_8p_0201,C_0201_0603Metric,Murata,GRM0335C1E8R0DA01D,
D1 D2 D3 D4 D5 D6 D7,7,D_Small-Device,X1-DFN1006-2,Diodes Inc.,D5V0L1B2LP3-7,
D8,1,SD05C.TCT,SOD-323-SD05,Semtec,SD05C.TCT,
IC1,1,EOS-S3,42-WLCSP,Quicklogic,EOS-S3-42-WLCSP,
J1,1,FTSH-105-01-L-DV-K,PinHeader_2x5_P1.27_SMD,Samtec Inc.,FTSH-105-01-L-DV-K,
J2,1,825437-4,TE_825437-4,TE Connectivity,825437-4,
J3,1,MC-HVT1-S02-G,PinHeader_1x2_P1.27mm_Drill.7mm_with_622002115121_plug,Multicomp,MC-HVT1-S02-G,
Q1 Q2 Q3,3,RV1C002UN,VML0806,ROHM Semiconductor,RV1C002UN,
R1 R13 R15 R2 R3 R4 R5 R6,8,R_10k_0201,R_0201_0603Metric,Panasonic,ERJ1GNF1002C ,
R10 R7,2,R_0R_0201,R_0201_0603Metric,Multicomp,MCRE000086,
R11 R12,2,R_22R_0201,R_0201_0603Metric,Multicomp,MCRE000100 ,
R16 R17,2,R_100R_0201,R_0201_0603Metric,Multicomp,MCRE000116 ,
R18,1,R_220R_0201,R_0201_0603Metric,Multicomp,MCRE000124,
R8,1,R_4k7_0201,R_0201_0603Metric,Vishay,CRCW02014K70FNED,
R9,1,R_1k5_0201,R_0201_0603Metric,Multicomp,MCRE000144,
S1,1,MSS3-V-T_R,Switch_Slide_MSS3,Diptronics,MSS3-V-T/R,
U1 U2,2,LDO-X2SON,Texas_X2SON-4_1x1mm_P0.65mm,Microchip,MIC5504-3.3YMT,
U10,1,RGB-LED,LED-RGB-5DS-UHD1110-FKA,Cree,UHD1110-FKA,
U4,1,GD25Q16CEIGR,GD25Q16CEIGR,GigaDevice Semiconductor,GD25Q16CEIGR,
U5,1,MC3635,MC3635,mCube,MC3635,
XTAL1,1,ECS-_327-12_5-1210-TR,XTAL_ECS-.327-12.5-1210-TR,ECS Inc.,ECS-.327-12.5-1210-TR,
